Day,Library,Room,Time,Time Interval,Available?
1,Undergraduate Library,202A,2pm-3pm,Afternoon,
1,Undergraduate Library,202A,3pm-4pm,Afternoon,
1,Undergraduate Library,202B,12pm-1pm,Afternoon,
1,Undergraduate Library,202B,1pm-2pm,Afternoon,
1,Undergraduate Library,202B,2pm-3pm,Afternoon,
1,Undergraduate Library,202B,3pm-4pm,Afternoon,
1,Undergraduate Library,202C,12pm-1pm,Afternoon,
1,Undergraduate Library,202C,1pm-2pm,Afternoon,
1,Undergraduate Library,202C,2pm-3pm,Afternoon,
1,Undergraduate Library,202C,3pm-4pm,Afternoon,
2,Undergraduate Library,203,12pm-1pm,Afternoon,
2,Undergraduate Library,203,1pm-2pm,Afternoon,
2,Undergraduate Library,203,2pm-3pm,Afternoon,
2,Undergraduate Library,203,3pm-4pm,Afternoon,
2,Undergraduate Library,208,12pm-1pm,Afternoon,
2,Undergraduate Library,208,1pm-2pm,Afternoon,
2,Undergraduate Library,208,2pm-3pm,Afternoon,
2,Undergraduate Library,208,3pm-4pm,Afternoon,
2,Undergraduate Library,209,12pm-1pm,Afternoon,
2,Undergraduate Library,209,1pm-2pm,Afternoon,
2,Undergraduate Library,209,2pm-3pm,Afternoon,
2,Undergraduate Library,209,3pm-4pm,Afternoon,
2,Undergraduate Library,211,12pm-1pm,Afternoon,
2,Undergraduate Library,211,1pm-2pm,Afternoon,
2,Undergraduate Library,211,2pm-3pm,Afternoon,
2,Undergraduate Library,211,3pm-4pm,Afternoon,
2,Undergraduate Library,217,12pm-1pm,Afternoon,
2,Undergraduate Library,217,1pm-2pm,Afternoon,
2,Undergraduate Library,217,2pm-3pm,Afternoon,
2,Undergraduate Library,217,3pm-4pm,Afternoon,
2,Undergraduate Library,218,12pm-1pm,Afternoon,
2,Undergraduate Library,218,1pm-2pm,Afternoon,
2,Undergraduate Library,218,2pm-3pm,Afternoon,
2,Undergraduate Library,218,3pm-4pm,Afternoon,
2,Undergraduate Library,219,12pm-1pm,Afternoon,
2,Undergraduate Library,219,1pm-2pm,Afternoon,
2,Undergraduate Library,219,2pm-3pm,Afternoon,
2,Undergraduate Library,219,3pm-4pm,Afternoon,
2,Undergraduate Library,220,12pm-1pm,Afternoon,
2,Undergraduate Library,220,1pm-2pm,Afternoon,
2,Undergraduate Library,220,2pm-3pm,Afternoon,
2,Undergraduate Library,220,3pm-4pm,Afternoon,
2,Undergraduate Library,221,12pm-1pm,Afternoon,
2,Undergraduate Library,221,1pm-2pm,Afternoon,
2,Undergraduate Library,221,2pm-3pm,Afternoon,
2,Undergraduate Library,221,3pm-4pm,Afternoon,
2,Undergraduate Library,202A,12pm-1pm,Afternoon,
2,Undergraduate Library,202A,1pm-2pm,Afternoon,
2,Undergraduate Library,202A,2pm-3pm,Afternoon,
2,Undergraduate Library,202A,3pm-4pm,Afternoon,
2,Undergraduate Library,202B,12pm-1pm,Afternoon,
2,Undergraduate Library,202B,1pm-2pm,Afternoon,
2,Undergraduate Library,202B,2pm-3pm,Afternoon,
2,Undergraduate Library,202B,3pm-4pm,Afternoon,
2,Undergraduate Library,202C,12pm-1pm,Afternoon,
2,Undergraduate Library,202C,1pm-2pm,Afternoon,
2,Undergraduate Library,202C,2pm-3pm,Afternoon,
2,Undergraduate Library,202C,3pm-4pm,Afternoon,
3,Undergraduate Library,203,12pm-1pm,Afternoon,
3,Undergraduate Library,203,1pm-2pm,Afternoon,
3,Undergraduate Library,203,2pm-3pm,Afternoon,
3,Undergraduate Library,203,3pm-4pm,Afternoon,
3,Undergraduate Library,208,12pm-1pm,Afternoon,
3,Undergraduate Library,208,1pm-2pm,Afternoon,
3,Undergraduate Library,208,2pm-3pm,Afternoon,
3,Undergraduate Library,208,3pm-4pm,Afternoon,
3,Undergraduate Library,209,12pm-1pm,Afternoon,
3,Undergraduate Library,209,1pm-2pm,Afternoon,
3,Undergraduate Library,209,2pm-3pm,Afternoon,
3,Undergraduate Library,209,3pm-4pm,Afternoon,
3,Undergraduate Library,211,12pm-1pm,Afternoon,
3,Undergraduate Library,211,1pm-2pm,Afternoon,
3,Undergraduate Library,211,2pm-3pm,Afternoon,
3,Undergraduate Library,211,3pm-4pm,Afternoon,
3,Undergraduate Library,217,12pm-1pm,Afternoon,
3,Undergraduate Library,217,1pm-2pm,Afternoon,
3,Undergraduate Library,217,2pm-3pm,Afternoon,
3,Undergraduate Library,217,3pm-4pm,Afternoon,
3,Undergraduate Library,218,12pm-1pm,Afternoon,
3,Undergraduate Library,218,1pm-2pm,Afternoon,
3,Undergraduate Library,218,2pm-3pm,Afternoon,
3,Undergraduate Library,218,3pm-4pm,Afternoon,
3,Undergraduate Library,219,12pm-1pm,Afternoon,
3,Undergraduate Library,219,1pm-2pm,Afternoon,
3,Undergraduate Library,219,2pm-3pm,Afternoon,
3,Undergraduate Library,219,3pm-4pm,Afternoon,
3,Undergraduate Library,220,12pm-1pm,Afternoon,
3,Undergraduate Library,220,1pm-2pm,Afternoon,
3,Undergraduate Library,220,2pm-3pm,Afternoon,
3,Undergraduate Library,220,3pm-4pm,Afternoon,
3,Undergraduate Library,221,12pm-1pm,Afternoon,
3,Undergraduate Library,221,1pm-2pm,Afternoon,
3,Undergraduate Library,221,2pm-3pm,Afternoon,
3,Undergraduate Library,221,3pm-4pm,Afternoon,
3,Undergraduate Library,202A,12pm-1pm,Afternoon,
3,Undergraduate Library,202A,1pm-2pm,Afternoon,
3,Undergraduate Library,202A,2pm-3pm,Afternoon,
3,Undergraduate Library,202A,3pm-4pm,Afternoon,
3,Undergraduate Library,202B,12pm-1pm,Afternoon,
3,Undergraduate Library,202B,1pm-2pm,Afternoon,
3,Undergraduate Library,202B,2pm-3pm,Afternoon,
3,Undergraduate Library,202B,3pm-4pm,Afternoon,
3,Undergraduate Library,202C,12pm-1pm,Afternoon,
3,Undergraduate Library,202C,1pm-2pm,Afternoon,
3,Undergraduate Library,202C,2pm-3pm,Afternoon,
3,Undergraduate Library,202C,3pm-4pm,Afternoon,
4,Undergraduate Library,203,12pm-1pm,Afternoon,
4,Undergraduate Library,203,1pm-2pm,Afternoon,
4,Undergraduate Library,203,2pm-3pm,Afternoon,
4,Undergraduate Library,203,3pm-4pm,Afternoon,
4,Undergraduate Library,208,12pm-1pm,Afternoon,
4,Undergraduate Library,208,1pm-2pm,Afternoon,
4,Undergraduate Library,208,2pm-3pm,Afternoon,
4,Undergraduate Library,208,3pm-4pm,Afternoon,
4,Undergraduate Library,209,12pm-1pm,Afternoon,
4,Undergraduate Library,209,1pm-2pm,Afternoon,
4,Undergraduate Library,209,2pm-3pm,Afternoon,
4,Undergraduate Library,209,3pm-4pm,Afternoon,
4,Undergraduate Library,211,12pm-1pm,Afternoon,
4,Undergraduate Library,211,1pm-2pm,Afternoon,
4,Undergraduate Library,211,2pm-3pm,Afternoon,
4,Undergraduate Library,211,3pm-4pm,Afternoon,
4,Undergraduate Library,217,12pm-1pm,Afternoon,
4,Undergraduate Library,217,1pm-2pm,Afternoon,
4,Undergraduate Library,217,2pm-3pm,Afternoon,
4,Undergraduate Library,217,3pm-4pm,Afternoon,
4,Undergraduate Library,218,12pm-1pm,Afternoon,
4,Undergraduate Library,218,1pm-2pm,Afternoon,
4,Undergraduate Library,218,2pm-3pm,Afternoon,
4,Undergraduate Library,218,3pm-4pm,Afternoon,
4,Undergraduate Library,219,12pm-1pm,Afternoon,
4,Undergraduate Library,219,1pm-2pm,Afternoon,
4,Undergraduate Library,219,2pm-3pm,Afternoon,
4,Undergraduate Library,219,3pm-4pm,Afternoon,
4,Undergraduate Library,220,12pm-1pm,Afternoon,
4,Undergraduate Library,220,1pm-2pm,Afternoon,
4,Undergraduate Library,220,2pm-3pm,Afternoon,
4,Undergraduate Library,220,3pm-4pm,Afternoon,
4,Undergraduate Library,221,12pm-1pm,Afternoon,
4,Undergraduate Library,221,1pm-2pm,Afternoon,
4,Undergraduate Library,221,2pm-3pm,Afternoon,
4,Undergraduate Library,221,3pm-4pm,Afternoon,
4,Undergraduate Library,202A,12pm-1pm,Afternoon,
4,Undergraduate Library,202A,1pm-2pm,Afternoon,
4,Undergraduate Library,202A,2pm-3pm,Afternoon,
4,Undergraduate Library,202A,3pm-4pm,Afternoon,
4,Undergraduate Library,202B,12pm-1pm,Afternoon,
4,Undergraduate Library,202B,1pm-2pm,Afternoon,
4,Undergraduate Library,202B,2pm-3pm,Afternoon,
4,Undergraduate Library,202B,3pm-4pm,Afternoon,
4,Undergraduate Library,202C,12pm-1pm,Afternoon,
4,Undergraduate Library,202C,1pm-2pm,Afternoon,
4,Undergraduate Library,202C,2pm-3pm,Afternoon,
4,Undergraduate Library,202C,3pm-4pm,Afternoon,
5,Undergraduate Library,203,12pm-1pm,Afternoon,
5,Undergraduate Library,203,1pm-2pm,Afternoon,
5,Undergraduate Library,203,2pm-3pm,Afternoon,
5,Undergraduate Library,203,3pm-4pm,Afternoon,
5,Undergraduate Library,208,12pm-1pm,Afternoon,
5,Undergraduate Library,208,1pm-2pm,Afternoon,
5,Undergraduate Library,208,2pm-3pm,Afternoon,
5,Undergraduate Library,208,3pm-4pm,Afternoon,
5,Undergraduate Library,209,12pm-1pm,Afternoon,
5,Undergraduate Library,209,1pm-2pm,Afternoon,
5,Undergraduate Library,209,2pm-3pm,Afternoon,
5,Undergraduate Library,209,3pm-4pm,Afternoon,
5,Undergraduate Library,211,12pm-1pm,Afternoon,
5,Undergraduate Library,211,1pm-2pm,Afternoon,
5,Undergraduate Library,211,2pm-3pm,Afternoon,
5,Undergraduate Library,211,3pm-4pm,Afternoon,
5,Undergraduate Library,217,12pm-1pm,Afternoon,
5,Undergraduate Library,217,1pm-2pm,Afternoon,
5,Undergraduate Library,217,2pm-3pm,Afternoon,
5,Undergraduate Library,217,3pm-4pm,Afternoon,
5,Undergraduate Library,218,12pm-1pm,Afternoon,
5,Undergraduate Library,218,1pm-2pm,Afternoon,
5,Undergraduate Library,218,2pm-3pm,Afternoon,
5,Undergraduate Library,218,3pm-4pm,Afternoon,
5,Undergraduate Library,219,12pm-1pm,Afternoon,
5,Undergraduate Library,219,1pm-2pm,Afternoon,
5,Undergraduate Library,219,2pm-3pm,Afternoon,
5,Undergraduate Library,219,3pm-4pm,Afternoon,
5,Undergraduate Library,220,12pm-1pm,Afternoon,
5,Undergraduate Library,220,1pm-2pm,Afternoon,
5,Undergraduate Library,220,2pm-3pm,Afternoon,
5,Undergraduate Library,220,3pm-4pm,Afternoon,
5,Undergraduate Library,221,12pm-1pm,Afternoon,
5,Undergraduate Library,221,1pm-2pm,Afternoon,
5,Undergraduate Library,221,2pm-3pm,Afternoon,
5,Undergraduate Library,221,3pm-4pm,Afternoon,
5,Undergraduate Library,202A,12pm-1pm,Afternoon,
5,Undergraduate Library,202A,1pm-2pm,Afternoon,
5,Undergraduate Library,202A,2pm-3pm,Afternoon,
5,Undergraduate Library,202A,3pm-4pm,Afternoon,
5,Undergraduate Library,202B,12pm-1pm,Afternoon,
5,Undergraduate Library,202B,1pm-2pm,Afternoon,
5,Undergraduate Library,202B,2pm-3pm,Afternoon,
5,Undergraduate Library,202B,3pm-4pm,Afternoon,
5,Undergraduate Library,202C,12pm-1pm,Afternoon,
5,Undergraduate Library,202C,1pm-2pm,Afternoon,
5,Undergraduate Library,202C,2pm-3pm,Afternoon,
5,Undergraduate Library,202C,3pm-4pm,Afternoon,
1,Health Sciences Library,127,2pm-3pm,Afternoon,
1,Health Sciences Library,127,3pm-4pm,Afternoon,
1,Health Sciences Library,128,12pm-1pm,Afternoon,
1,Health Sciences Library,128,1pm-2pm,Afternoon,
1,Health Sciences Library,128,2pm-3pm,Afternoon,
1,Health Sciences Library,128,3pm-4pm,Afternoon,
1,Health Sciences Library,129,12pm-1pm,Afternoon,
1,Health Sciences Library,129,1pm-2pm,Afternoon,
1,Health Sciences Library,129,2pm-3pm,Afternoon,
1,Health Sciences Library,129,3pm-4pm,Afternoon,
1,Health Sciences Library,130,12pm-1pm,Afternoon,
1,Health Sciences Library,130,1pm-2pm,Afternoon,
1,Health Sciences Library,130,2pm-3pm,Afternoon,
1,Health Sciences Library,130,3pm-4pm,Afternoon,
1,Health Sciences Library,131,12pm-1pm,Afternoon,
1,Health Sciences Library,131,1pm-2pm,Afternoon,
1,Health Sciences Library,131,2pm-3pm,Afternoon,
1,Health Sciences Library,131,3pm-4pm,Afternoon,
1,Health Sciences Library,132,12pm-1pm,Afternoon,
1,Health Sciences Library,132,1pm-2pm,Afternoon,
1,Health Sciences Library,132,2pm-3pm,Afternoon,
1,Health Sciences Library,132,3pm-4pm,Afternoon,
1,Health Sciences Library,228,12pm-1pm,Afternoon,
1,Health Sciences Library,228,1pm-2pm,Afternoon,
1,Health Sciences Library,228,2pm-3pm,Afternoon,
1,Health Sciences Library,228,3pm-4pm,Afternoon,
1,Health Sciences Library,229,12pm-1pm,Afternoon,
1,Health Sciences Library,229,1pm-2pm,Afternoon,
1,Health Sciences Library,229,2pm-3pm,Afternoon,
1,Health Sciences Library,229,3pm-4pm,Afternoon,
1,Health Sciences Library,230,12pm-1pm,Afternoon,
1,Health Sciences Library,230,1pm-2pm,Afternoon,
1,Health Sciences Library,230,2pm-3pm,Afternoon,
1,Health Sciences Library,230,3pm-4pm,Afternoon,
1,Health Sciences Library,231,12pm-1pm,Afternoon,
1,Health Sciences Library,231,1pm-2pm,Afternoon,
1,Health Sciences Library,231,2pm-3pm,Afternoon,
1,Health Sciences Library,231,3pm-4pm,Afternoon,
1,Health Sciences Library,232,12pm-1pm,Afternoon,
1,Health Sciences Library,232,1pm-2pm,Afternoon,
1,Health Sciences Library,232,2pm-3pm,Afternoon,
1,Health Sciences Library,232,3pm-4pm,Afternoon,
1,Health Sciences Library,420,12pm-1pm,Afternoon,
1,Health Sciences Library,420,1pm-2pm,Afternoon,
1,Health Sciences Library,420,2pm-3pm,Afternoon,
1,Health Sciences Library,420,3pm-4pm,Afternoon,
1,Health Sciences Library,424,12pm-1pm,Afternoon,
1,Health Sciences Library,424,1pm-2pm,Afternoon,
1,Health Sciences Library,424,2pm-3pm,Afternoon,
1,Health Sciences Library,424,3pm-4pm,Afternoon,
1,Health Sciences Library,425,12pm-1pm,Afternoon,
1,Health Sciences Library,425,1pm-2pm,Afternoon,
1,Health Sciences Library,425,2pm-3pm,Afternoon,
1,Health Sciences Library,425,3pm-4pm,Afternoon,
1,Health Sciences Library,426,12pm-1pm,Afternoon,
1,Health Sciences Library,426,1pm-2pm,Afternoon,
1,Health Sciences Library,426,2pm-3pm,Afternoon,
1,Health Sciences Library,426,3pm-4pm,Afternoon,
1,Health Sciences Library,428A,12pm-1pm,Afternoon,
1,Health Sciences Library,428A,1pm-2pm,Afternoon,
1,Health Sciences Library,428A,2pm-3pm,Afternoon,
1,Health Sciences Library,428A,3pm-4pm,Afternoon,
1,Health Sciences Library,428B,12pm-1pm,Afternoon,
1,Health Sciences Library,428B,1pm-2pm,Afternoon,
1,Health Sciences Library,428B,2pm-3pm,Afternoon,
1,Health Sciences Library,428B,3pm-4pm,Afternoon,
1,Health Sciences Library,428C,12pm-1pm,Afternoon,
1,Health Sciences Library,428C,1pm-2pm,Afternoon,
1,Health Sciences Library,428C,2pm-3pm,Afternoon,
1,Health Sciences Library,428C,3pm-4pm,Afternoon,
1,Health Sciences Library,428E,12pm-1pm,Afternoon,
1,Health Sciences Library,428E,1pm-2pm,Afternoon,
1,Health Sciences Library,428E,2pm-3pm,Afternoon,
1,Health Sciences Library,428E,3pm-4pm,Afternoon,
1,Health Sciences Library,428F,12pm-1pm,Afternoon,
1,Health Sciences Library,428F,1pm-2pm,Afternoon,
1,Health Sciences Library,428F,2pm-3pm,Afternoon,
1,Health Sciences Library,428F,3pm-4pm,Afternoon,
1,Health Sciences Library,428G,12pm-1pm,Afternoon,
1,Health Sciences Library,428G,1pm-2pm,Afternoon,
1,Health Sciences Library,428G,2pm-3pm,Afternoon,
1,Health Sciences Library,428G,3pm-4pm,Afternoon,
1,Health Sciences Library,428H,12pm-1pm,Afternoon,
1,Health Sciences Library,428H,1pm-2pm,Afternoon,
1,Health Sciences Library,428H,2pm-3pm,Afternoon,
1,Health Sciences Library,428H,3pm-4pm,Afternoon,
2,Health Sciences Library,127,12pm-1pm,Afternoon,
2,Health Sciences Library,127,1pm-2pm,Afternoon,
2,Health Sciences Library,127,2pm-3pm,Afternoon,
2,Health Sciences Library,127,3pm-4pm,Afternoon,
2,Health Sciences Library,128,12pm-1pm,Afternoon,
2,Health Sciences Library,128,1pm-2pm,Afternoon,
2,Health Sciences Library,128,2pm-3pm,Afternoon,
2,Health Sciences Library,128,3pm-4pm,Afternoon,
2,Health Sciences Library,129,12pm-1pm,Afternoon,
2,Health Sciences Library,129,1pm-2pm,Afternoon,
2,Health Sciences Library,129,2pm-3pm,Afternoon,
2,Health Sciences Library,129,3pm-4pm,Afternoon,
2,Health Sciences Library,130,12pm-1pm,Afternoon,
2,Health Sciences Library,130,1pm-2pm,Afternoon,
2,Health Sciences Library,130,2pm-3pm,Afternoon,
2,Health Sciences Library,130,3pm-4pm,Afternoon,
2,Health Sciences Library,131,12pm-1pm,Afternoon,
2,Health Sciences Library,131,1pm-2pm,Afternoon,
2,Health Sciences Library,131,2pm-3pm,Afternoon,
2,Health Sciences Library,131,3pm-4pm,Afternoon,
2,Health Sciences Library,132,12pm-1pm,Afternoon,
2,Health Sciences Library,132,1pm-2pm,Afternoon,
2,Health Sciences Library,132,2pm-3pm,Afternoon,
2,Health Sciences Library,132,3pm-4pm,Afternoon,
2,Health Sciences Library,228,12pm-1pm,Afternoon,
2,Health Sciences Library,228,1pm-2pm,Afternoon,
2,Health Sciences Library,228,2pm-3pm,Afternoon,
2,Health Sciences Library,228,3pm-4pm,Afternoon,
2,Health Sciences Library,229,12pm-1pm,Afternoon,
2,Health Sciences Library,229,1pm-2pm,Afternoon,
2,Health Sciences Library,229,2pm-3pm,Afternoon,
2,Health Sciences Library,229,3pm-4pm,Afternoon,
2,Health Sciences Library,230,12pm-1pm,Afternoon,
2,Health Sciences Library,230,1pm-2pm,Afternoon,
2,Health Sciences Library,230,2pm-3pm,Afternoon,
2,Health Sciences Library,230,3pm-4pm,Afternoon,
2,Health Sciences Library,231,12pm-1pm,Afternoon,
2,Health Sciences Library,231,1pm-2pm,Afternoon,
2,Health Sciences Library,231,2pm-3pm,Afternoon,
2,Health Sciences Library,231,3pm-4pm,Afternoon,
2,Health Sciences Library,232,12pm-1pm,Afternoon,
2,Health Sciences Library,232,1pm-2pm,Afternoon,
2,Health Sciences Library,232,2pm-3pm,Afternoon,
2,Health Sciences Library,232,3pm-4pm,Afternoon,
2,Health Sciences Library,420,12pm-1pm,Afternoon,
2,Health Sciences Library,420,1pm-2pm,Afternoon,
2,Health Sciences Library,420,2pm-3pm,Afternoon,
2,Health Sciences Library,420,3pm-4pm,Afternoon,
2,Health Sciences Library,424,12pm-1pm,Afternoon,
2,Health Sciences Library,424,1pm-2pm,Afternoon,
2,Health Sciences Library,424,2pm-3pm,Afternoon,
2,Health Sciences Library,424,3pm-4pm,Afternoon,
2,Health Sciences Library,425,12pm-1pm,Afternoon,
2,Health Sciences Library,425,1pm-2pm,Afternoon,
2,Health Sciences Library,425,2pm-3pm,Afternoon,
2,Health Sciences Library,425,3pm-4pm,Afternoon,
2,Health Sciences Library,426,12pm-1pm,Afternoon,
2,Health Sciences Library,426,1pm-2pm,Afternoon,
2,Health Sciences Library,426,2pm-3pm,Afternoon,
2,Health Sciences Library,426,3pm-4pm,Afternoon,
2,Health Sciences Library,428A,12pm-1pm,Afternoon,
2,Health Sciences Library,428A,1pm-2pm,Afternoon,
2,Health Sciences Library,428A,2pm-3pm,Afternoon,
2,Health Sciences Library,428A,3pm-4pm,Afternoon,
2,Health Sciences Library,428B,12pm-1pm,Afternoon,
2,Health Sciences Library,428B,1pm-2pm,Afternoon,
2,Health Sciences Library,428B,2pm-3pm,Afternoon,
2,Health Sciences Library,428B,3pm-4pm,Afternoon,
2,Health Sciences Library,428C,12pm-1pm,Afternoon,
2,Health Sciences Library,428C,1pm-2pm,Afternoon,
2,Health Sciences Library,428C,2pm-3pm,Afternoon,
2,Health Sciences Library,428C,3pm-4pm,Afternoon,
2,Health Sciences Library,428E,12pm-1pm,Afternoon,
2,Health Sciences Library,428E,1pm-2pm,Afternoon,
2,Health Sciences Library,428E,2pm-3pm,Afternoon,
2,Health Sciences Library,428E,3pm-4pm,Afternoon,
2,Health Sciences Library,428F,12pm-1pm,Afternoon,
2,Health Sciences Library,428F,1pm-2pm,Afternoon,
2,Health Sciences Library,428F,2pm-3pm,Afternoon,
2,Health Sciences Library,428F,3pm-4pm,Afternoon,
2,Health Sciences Library,428G,12pm-1pm,Afternoon,
2,Health Sciences Library,428G,1pm-2pm,Afternoon,
2,Health Sciences Library,428G,2pm-3pm,Afternoon,
2,Health Sciences Library,428G,3pm-4pm,Afternoon,
2,Health Sciences Library,428H,12pm-1pm,Afternoon,
2,Health Sciences Library,428H,1pm-2pm,Afternoon,
2,Health Sciences Library,428H,2pm-3pm,Afternoon,
2,Health Sciences Library,428H,3pm-4pm,Afternoon,
3,Health Sciences Library,127,12pm-1pm,Afternoon,
3,Health Sciences Library,127,1pm-2pm,Afternoon,
3,Health Sciences Library,127,2pm-3pm,Afternoon,
3,Health Sciences Library,127,3pm-4pm,Afternoon,
3,Health Sciences Library,128,12pm-1pm,Afternoon,
3,Health Sciences Library,128,1pm-2pm,Afternoon,
3,Health Sciences Library,128,2pm-3pm,Afternoon,
3,Health Sciences Library,128,3pm-4pm,Afternoon,
3,Health Sciences Library,129,12pm-1pm,Afternoon,
3,Health Sciences Library,129,1pm-2pm,Afternoon,
3,Health Sciences Library,129,2pm-3pm,Afternoon,
3,Health Sciences Library,129,3pm-4pm,Afternoon,
3,Health Sciences Library,130,12pm-1pm,Afternoon,
3,Health Sciences Library,130,1pm-2pm,Afternoon,
3,Health Sciences Library,130,2pm-3pm,Afternoon,
3,Health Sciences Library,130,3pm-4pm,Afternoon,
3,Health Sciences Library,131,12pm-1pm,Afternoon,
3,Health Sciences Library,131,1pm-2pm,Afternoon,
3,Health Sciences Library,131,2pm-3pm,Afternoon,
3,Health Sciences Library,131,3pm-4pm,Afternoon,
3,Health Sciences Library,132,12pm-1pm,Afternoon,
3,Health Sciences Library,132,1pm-2pm,Afternoon,
3,Health Sciences Library,132,2pm-3pm,Afternoon,
3,Health Sciences Library,132,3pm-4pm,Afternoon,
3,Health Sciences Library,228,12pm-1pm,Afternoon,
3,Health Sciences Library,228,1pm-2pm,Afternoon,
3,Health Sciences Library,228,2pm-3pm,Afternoon,
3,Health Sciences Library,228,3pm-4pm,Afternoon,
3,Health Sciences Library,229,12pm-1pm,Afternoon,
3,Health Sciences Library,229,1pm-2pm,Afternoon,
3,Health Sciences Library,229,2pm-3pm,Afternoon,
3,Health Sciences Library,229,3pm-4pm,Afternoon,
3,Health Sciences Library,230,12pm-1pm,Afternoon,
3,Health Sciences Library,230,1pm-2pm,Afternoon,
3,Health Sciences Library,230,2pm-3pm,Afternoon,
3,Health Sciences Library,230,3pm-4pm,Afternoon,
3,Health Sciences Library,231,12pm-1pm,Afternoon,
3,Health Sciences Library,231,1pm-2pm,Afternoon,
3,Health Sciences Library,231,2pm-3pm,Afternoon,
3,Health Sciences Library,231,3pm-4pm,Afternoon,
3,Health Sciences Library,232,12pm-1pm,Afternoon,
3,Health Sciences Library,232,1pm-2pm,Afternoon,
3,Health Sciences Library,232,2pm-3pm,Afternoon,
3,Health Sciences Library,232,3pm-4pm,Afternoon,
3,Health Sciences Library,420,12pm-1pm,Afternoon,
3,Health Sciences Library,420,1pm-2pm,Afternoon,
3,Health Sciences Library,420,2pm-3pm,Afternoon,
3,Health Sciences Library,420,3pm-4pm,Afternoon,
3,Health Sciences Library,424,12pm-1pm,Afternoon,
3,Health Sciences Library,424,1pm-2pm,Afternoon,
3,Health Sciences Library,424,2pm-3pm,Afternoon,
3,Health Sciences Library,424,3pm-4pm,Afternoon,
3,Health Sciences Library,425,12pm-1pm,Afternoon,
3,Health Sciences Library,425,1pm-2pm,Afternoon,
3,Health Sciences Library,425,2pm-3pm,Afternoon,
3,Health Sciences Library,425,3pm-4pm,Afternoon,
3,Health Sciences Library,426,12pm-1pm,Afternoon,
3,Health Sciences Library,426,1pm-2pm,Afternoon,
3,Health Sciences Library,426,2pm-3pm,Afternoon,
3,Health Sciences Library,426,3pm-4pm,Afternoon,
3,Health Sciences Library,428A,12pm-1pm,Afternoon,
3,Health Sciences Library,428A,1pm-2pm,Afternoon,
3,Health Sciences Library,428A,2pm-3pm,Afternoon,
3,Health Sciences Library,428A,3pm-4pm,Afternoon,
3,Health Sciences Library,428B,12pm-1pm,Afternoon,
3,Health Sciences Library,428B,1pm-2pm,Afternoon,
3,Health Sciences Library,428B,2pm-3pm,Afternoon,
3,Health Sciences Library,428B,3pm-4pm,Afternoon,
3,Health Sciences Library,428C,12pm-1pm,Afternoon,
3,Health Sciences Library,428C,1pm-2pm,Afternoon,
3,Health Sciences Library,428C,2pm-3pm,Afternoon,
3,Health Sciences Library,428C,3pm-4pm,Afternoon,
3,Health Sciences Library,428E,12pm-1pm,Afternoon,
3,Health Sciences Library,428E,1pm-2pm,Afternoon,
3,Health Sciences Library,428E,2pm-3pm,Afternoon,
3,Health Sciences Library,428E,3pm-4pm,Afternoon,
3,Health Sciences Library,428F,12pm-1pm,Afternoon,
3,Health Sciences Library,428F,1pm-2pm,Afternoon,
3,Health Sciences Library,428F,2pm-3pm,Afternoon,
